province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Narathiwat,33,2012,7,752384,50.62325873,17242.80588,17045.80588,34.52993843,13302.57251,423.9151459,739.8576401,211.9337157
Nong Bua Lam Phu,34,2012,20,503811,33.89832134,17132.08356,16935.08356,19.93656407,15009.4366,119.3029454,142.6237843,13.56672321
Nong Khai,35,2012,21,511155,34.39245361,17844.52012,17647.52012,7.667804057,15641.32068,110.7610251,174.9668716,15.06432589
Nonthaburi,36,2012,18,1132150,76.17536042,33971.00486,33774.00486,1.390652965,28719.84305,299.9008089,1313.303869,87.93427263
Pathum Thani,37,2012,29,1022367,68.7887424,26818.83086,26621.83086,1.361810935,25767.03838,533.5431615,1706.751986,88.50303812
Pattani,38,2012,2,667550,44.91530437,17789.99144,17592.99144,38.38373554,14645.27473,384.2083141,531.2999883,228.93107
Phangnga,39,2012,17,256212,17.23891838,25561.13904,25364.13904,5.136052756,19216.30516,136.3357044,148.7142766,23.91462359
Phatthalung,40,2012,44,512777,34.50158794,25377.55309,25180.55309,13.64360775,17950.41885,248.5205229,326.1904442,90.87756675
Phayao,41,2012,48,487296,32.78712929,15239.05307,15042.05307,15.73186337,11812.57023,113.3047345,134.2824689,15.92663738
Phetchabun,42,2012,91,992255,66.76269245,17680.48658,17483.48658,12.11478563,13025.60992,266.7404524,271.8540964,46.60144815
Phetchaburi,43,2012,28,467476,31.45356427,21256.90434,21059.90434,6.551128639,18753.0209,269.6881569,325.7180099,36.98479737
Phichit,44,2012,25,549541,36.97520977,19799.54868,19602.54868,3.840151845,15309.17006,149.6593514,250.8251805,18.97330002
Phitsanulok,45,2012,69,852864,57.38393551,21148.14792,20951.14792,9.467526113,17182.69363,369.3978072,738.9020267,50.31759192
Phra Nakhon Si Ayutthaya,46,2012,59,790581,53.19329825,24327.67184,24130.67184,4.373120598,20803.81499,354.3175597,1043.200232,61.74141215
Phrae,47,2012,46,458178,30.82795945,19046.866,18849.866,15.05711265,14466.53545,113.512425,166.662817,15.88491338
Phuket,48,2012,30,357376,24.04561728,28583.30437,28386.30437,2.392443685,24555.20378,242.0571668,608.5214904,39.00370645
Prachin Buri,49,2012,20,471711,31.73851119,23998.76643,23801.76643,9.432373555,20788.77004,214.0738814,565.7012473,39.11642792
Prachuap Khiri Khan,50,2012,34,514809,34.63830864,21758.26774,21561.26774,8.861763752,20386.62082,254.6195093,432.8436344,48.3602183
